"TID","CommonName","Subspecies","Longitude","Latitude","taxa","Year","Count","cv","Units","Region"
"MUSP114","Protomyctophum normani",NA,NA,NA,"Unexploited small pelagics",2000,8.79909090909091e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP115","Protomyctophum parallelum",NA,NA,NA,"Unexploited small pelagics",1999,3.26454545454545e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP115","Protomyctophum parallelum",NA,NA,NA,"Unexploited small pelagics",2004,8.11557142857143e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP115","Protomyctophum parallelum",NA,NA,NA,"Unexploited small pelagics",2006,6.4491e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP115","Protomyctophum parallelum",NA,NA,NA,"Unexploited small pelagics",2009,6.38e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP116","Protomyctophum tenisoni",NA,NA,NA,"Unexploited small pelagics",1998,0.000248573117318436,NA,"Counts per m3","Antartica continental shelf"
"MUSP116","Protomyctophum tenisoni",NA,NA,NA,"Unexploited small pelagics",1999,0.00031390140338983,NA,"Counts per m3","Antartica continental shelf"
"MUSP116","Protomyctophum tenisoni",NA,NA,NA,"Unexploited small pelagics",2000,0.000191118548387097,NA,"Counts per m3","Antartica continental shelf"
"MUSP116","Protomyctophum tenisoni",NA,NA,NA,"Unexploited small pelagics",2004,3.36733333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP116","Protomyctophum tenisoni",NA,NA,NA,"Unexploited small pelagics",2006,7.50123333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP116","Protomyctophum tenisoni",NA,NA,NA,"Unexploited small pelagics",2008,0.00045945,NA,"Counts per m3","Antartica continental shelf"
"MUSP116","Protomyctophum tenisoni",NA,NA,NA,"Unexploited small pelagics",2009,0.0002528465,NA,"Counts per m3","Antartica continental shelf"
"MUSP117","Pseudochaenichthys georgianus",NA,NA,NA,"Unexploited small pelagics",2003,0.000263225,NA,"Counts per m3","Antartica continental shelf"
"MUSP117","Pseudochaenichthys georgianus",NA,NA,NA,"Unexploited small pelagics",2004,1.95e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP117","Pseudochaenichthys georgianus",NA,NA,NA,"Unexploited small pelagics",2008,0.0002500125,NA,"Counts per m3","Antartica continental shelf"
"MUSP118","Pseudoscopelus scriptus",NA,NA,NA,"Unexploited small pelagics",1999,8.38923076923077e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP118","Pseudoscopelus scriptus",NA,NA,NA,"Unexploited small pelagics",2000,8.08666666666667e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP119","Psychroteuthis glacialis",NA,NA,NA,"Unexploited small pelagics",2006,1.55e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP12","Bathyteuthis abyssicola",NA,NA,NA,"Unexploited small pelagics",2006,1.81e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP12","Bathyteuthis abyssicola",NA,NA,NA,"Unexploited small pelagics",2008,1.415e-05,NA,"Counts per m3","Antartica continental shelf"
