eventID,occurrenceID,phylum,class,order,family,scientificName,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceRemarks,rightsHolder,reference
AMLR2004_A1412_2185_1,AMLR2004_A1412_2185_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,1,0.000237343,n_m3,NA,NA,NA
AMLR2004_A1414_2186_1,AMLR2004_A1414_2186_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,3,0.000827342,n_m3,NA,NA,NA
AMLR2004_A1505_2187_1,AMLR2004_A1505_2187_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,4,0.001112793,n_m3,NA,NA,NA
AMLR2004_A1509_2189_1,AMLR2004_A1509_2189_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,2,0.000531511,n_m3,NA,NA,NA
AMLR2004_A1513_2190_1,AMLR2004_A1513_2190_1_147036,Chordata,Actinopteri,Aulopiformes,Paralepididae,Notolepis,HumanObservation,3,0.000860555,n_m3,NA,NA,NA
AMLR2004_A1513_2190_1,AMLR2004_A1513_2190_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.000286852,n_m3,NA,NA,NA
AMLR2004_A1513_2190_1,AMLR2004_A1513_2190_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,5,0.001434259,n_m3,NA,NA,NA
AMLR2004_A1515_2191_1,AMLR2004_A1515_2191_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,2,0.000538703,n_m3,NA,NA,NA
AMLR2004_A1610_2194_1,AMLR2004_A1610_2194_1_318861,Chordata,Actinopteri,Perciformes,Nototheniidae,Lindbergichthys nudifrons,HumanObservation,6,0.001571512,n_m3,NA,NA,NA
AMLR2004_A1610_2194_1,AMLR2004_A1610_2194_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,1,0.000261919,n_m3,NA,NA,NA
AMLR2004_A1610_2194_1,AMLR2004_A1610_2194_1_234695,Chordata,Actinopteri,Aulopiformes,Paralepididae,Notolepis coatsi,HumanObservation,2,0.000523837,n_m3,NA,NA,NA
AMLR2004_A1614_2195_1,AMLR2004_A1614_2195_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,14,0.003271884,n_m3,NA,NA,NA
AMLR2004_A1711_2198_1,AMLR2004_A1711_2198_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,33,0.007778739,n_m3,NA,NA,NA
AMLR2004_A1711_2198_1,AMLR2004_A1711_2198_1_234678,Chordata,Actinopteri,Perciformes,Channichthyidae,Chionodraco rastrospinosus,HumanObservation,1,0.000235719,n_m3,NA,NA,NA
AMLR2004_A1711_2198_1,AMLR2004_A1711_2198_1_234695,Chordata,Actinopteri,Aulopiformes,Paralepididae,Notolepis coatsi,HumanObservation,4,0.000942877,n_m3,NA,NA,NA
AMLR2004_A1713_2199_1,AMLR2004_A1713_2199_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,6,0.00139576,n_m3,NA,NA,NA
AMLR2004_A1713_2199_1,AMLR2004_A1713_2199_1_234678,Chordata,Actinopteri,Perciformes,Channichthyidae,Chionodraco rastrospinosus,HumanObservation,1,0.000232627,n_m3,NA,NA,NA
AMLR2004_A1713_2199_1,AMLR2004_A1713_2199_1_234695,Chordata,Actinopteri,Aulopiformes,Paralepididae,Notolepis coatsi,HumanObservation,7,0.001628387,n_m3,NA,NA,NA
AMLR2004_A1713_2199_1,AMLR2004_A1713_2199_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,40,0.009305068,n_m3,NA,NA,NA
AMLR2004_A1808_2200_1,AMLR2004_A1808_2200_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.00027537,n_m3,NA,NA,NA
AMLR2004_A1810_2201_1,AMLR2004_A1810_2201_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,2,0.000534491,n_m3,NA,NA,NA
AMLR2004_A1911_2204_1,AMLR2004_A1911_2204_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,11,0.002622666,n_m3,NA,NA,NA
AMLR2004_D0201_2205_1,AMLR2004_D0201_2205_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,2,0.000475145,n_m3,NA,NA,NA
AMLR2004_D0201_2205_1,AMLR2004_D0201_2205_1_234642,Chordata,Actinopteri,Myctophiformes,Myctophidae,Gymnoscopelus braueri,HumanObservation,2,0.000475145,n_m3,NA,NA,NA
AMLR2004_D0202_2206_1,AMLR2004_D0202_2206_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,3,0.000746456,n_m3,NA,NA,NA
AMLR2004_D0202_2206_1,AMLR2004_D0202_2206_1_234695,Chordata,Actinopteri,Aulopiformes,Paralepididae,Notolepis coatsi,HumanObservation,5,0.001244094,n_m3,NA,NA,NA
AMLR2004_D0205_2209_1,AMLR2004_D0205_2209_1_234695,Chordata,Actinopteri,Aulopiformes,Paralepididae,Notolepis coatsi,HumanObservation,3,0.000827497,n_m3,NA,NA,NA
AMLR2004_D0205_2209_1,AMLR2004_D0205_2209_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,21,0.005792477,n_m3,NA,NA,NA
AMLR2004_D0205_2209_1,AMLR2004_D0205_2209_1_234825,Chordata,Actinopteri,Perciformes,Harpagiferidae,Harpagifer antarcticus,HumanObservation,1,0.000275832,n_m3,NA,NA,NA
AMLR2004_D0206_2210_1,AMLR2004_D0206_2210_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,4,0.001084279,n_m3,NA,NA,NA
AMLR2004_D0207_2211_1,AMLR2004_D0207_2211_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.000231428,n_m3,NA,NA,NA
AMLR2004_D0207_2211_1,AMLR2004_D0207_2211_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,3,0.000694285,n_m3,NA,NA,NA
AMLR2004_D0208_2212_1,AMLR2004_D0208_2212_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,2,0.00058101,n_m3,NA,NA,NA
AMLR2004_D0302_2214_1,AMLR2004_D0302_2214_1_234641,Chordata,Actinopteri,Myctophiformes,Myctophidae,Krefftichthys anderssoni,HumanObservation,1,0.000245943,n_m3,NA,NA,NA
AMLR2004_D0306_2216_1,AMLR2004_D0306_2216_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,1,0.000249805,n_m3,NA,NA,NA
AMLR2004_D0306_2216_1,AMLR2004_D0306_2216_1_234695,Chordata,Actinopteri,Aulopiformes,Paralepididae,Notolepis coatsi,HumanObservation,3,0.000749415,n_m3,NA,NA,NA
AMLR2004_D0306_2216_1,AMLR2004_D0306_2216_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,20,0.004996101,n_m3,NA,NA,NA
AMLR2004_D0308_2217_1,AMLR2004_D0308_2217_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,2,0.000566084,n_m3,NA,NA,NA
AMLR2004_D0309_2218_1,AMLR2004_D0309_2218_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,2,0.000443034,n_m3,NA,NA,NA
AMLR2004_D0309_2218_1,AMLR2004_D0309_2218_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,1,0.000221517,n_m3,NA,NA,NA
AMLR2004_D0401_2219_1,AMLR2004_D0401_2219_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.000231759,n_m3,NA,NA,NA
AMLR2004_D0401_2219_1,AMLR2004_D0401_2219_1_234642,Chordata,Actinopteri,Myctophiformes,Myctophidae,Gymnoscopelus braueri,HumanObservation,1,0.000231759,n_m3,NA,NA,NA
AMLR2004_D0402_2220_1,AMLR2004_D0402_2220_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,10,0.002683836,n_m3,NA,NA,NA
AMLR2004_D0403_2221_1,AMLR2004_D0403_2221_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,4,0.000999446,n_m3,NA,NA,NA
AMLR2004_D0405_2223_1,AMLR2004_D0405_2223_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,2,0.000395323,n_m3,NA,NA,NA
AMLR2004_D0407_2225_1,AMLR2004_D0407_2225_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.00026322,n_m3,NA,NA,NA
AMLR2004_D0408_2226_1,AMLR2004_D0408_2226_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,1,0.000263836,n_m3,NA,NA,NA
AMLR2004_D0408_2226_1,AMLR2004_D0408_2226_1_234631,Chordata,Actinopteri,Argentiniformes,Bathylagidae,Bathylagus antarcticus,HumanObservation,1,0.000263836,n_m3,NA,NA,NA
AMLR2004_D0408_2226_1,AMLR2004_D0408_2226_1_234695,Chordata,Actinopteri,Aulopiformes,Paralepididae,Notolepis coatsi,HumanObservation,2,0.000527672,n_m3,NA,NA,NA
AMLR2004_D0408_2226_1,AMLR2004_D0408_2226_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,2,0.000527672,n_m3,NA,NA,NA
AMLR2004_D0409_2227_1,AMLR2004_D0409_2227_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.000300117,n_m3,NA,NA,NA
AMLR2004_D0409_2227_1,AMLR2004_D0409_2227_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,1,0.000300117,n_m3,NA,NA,NA
AMLR2004_D0409_2227_1,AMLR2004_D0409_2227_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,4,0.001200467,n_m3,NA,NA,NA
AMLR2004_D0410_2228_1,AMLR2004_D0410_2228_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,8,0.001945022,n_m3,NA,NA,NA
AMLR2004_D0501_2229_1,AMLR2004_D0501_2229_1_234638,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona carlsbergi,HumanObservation,3,0.00079074,n_m3,NA,NA,NA
AMLR2004_D0501_2229_1,AMLR2004_D0501_2229_1_234642,Chordata,Actinopteri,Myctophiformes,Myctophidae,Gymnoscopelus braueri,HumanObservation,3,0.00079074,n_m3,NA,NA,NA
AMLR2004_D0502_2230_1,AMLR2004_D0502_2230_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,52,0.01244783,n_m3,NA,NA,NA
AMLR2004_D0503_2231_1,AMLR2004_D0503_2231_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,10,0.002164015,n_m3,NA,NA,NA
AMLR2004_D0504_2232_1,AMLR2004_D0504_2232_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,4,0.000964313,n_m3,NA,NA,NA
AMLR2004_D0504_2232_1,AMLR2004_D0504_2232_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,2,0.000482156,n_m3,NA,NA,NA
AMLR2004_D0505_2233_1,AMLR2004_D0505_2233_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,8,0.002409199,n_m3,NA,NA,NA
AMLR2004_D0506_2234_1,AMLR2004_D0506_2234_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,2,0.000607778,n_m3,NA,NA,NA
AMLR2004_D0506_2234_1,AMLR2004_D0506_2234_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,42,0.012763332,n_m3,NA,NA,NA
AMLR2004_D0506_2234_1,AMLR2004_D0506_2234_1_234704,Chordata,Actinopteri,Perciformes,Nototheniidae,Gobionotothen gibberifrons,HumanObservation,6,0.001823333,n_m3,NA,NA,NA
AMLR2004_D0506_2234_1,AMLR2004_D0506_2234_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,4,0.001215555,n_m3,NA,NA,NA
AMLR2004_D0507_2235_1,AMLR2004_D0507_2235_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,2,0.000524819,n_m3,NA,NA,NA
AMLR2004_D0507_2235_1,AMLR2004_D0507_2235_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,3,0.000787229,n_m3,NA,NA,NA
AMLR2004_D0507_2235_1,AMLR2004_D0507_2235_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,12,0.003148916,n_m3,NA,NA,NA
AMLR2004_D0508_2236_1,AMLR2004_D0508_2236_1_234631,Chordata,Actinopteri,Argentiniformes,Bathylagidae,Bathylagus antarcticus,HumanObservation,1,0.000284149,n_m3,NA,NA,NA
AMLR2004_D0508_2236_1,AMLR2004_D0508_2236_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,1,0.000284149,n_m3,NA,NA,NA
AMLR2004_D0509_2237_1,AMLR2004_D0509_2237_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,1,0.000238865,n_m3,NA,NA,NA
AMLR2004_D0510_2238_1,AMLR2004_D0510_2238_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,3,0.000708892,n_m3,NA,NA,NA
AMLR2004_D0510_2238_1,AMLR2004_D0510_2238_1_712788,Chordata,Actinopteri,Perciformes,Nototheniidae,Pleuragramma antarctica,HumanObservation,1,0.000236297,n_m3,NA,NA,NA
AMLR2004_D0609_2239_1,AMLR2004_D0609_2239_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.000253907,n_m3,NA,NA,NA
AMLR2004_D0609_2239_1,AMLR2004_D0609_2239_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,2,0.000507814,n_m3,NA,NA,NA
AMLR2004_D0609_2239_1,AMLR2004_D0609_2239_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,2,0.000507814,n_m3,NA,NA,NA
AMLR2004_D0609_2239_1,AMLR2004_D0609_2239_1_234821,Chordata,Actinopteri,Myctophiformes,Myctophidae,Gymnoscopelus nicholsi,HumanObservation,1,0.000253907,n_m3,NA,NA,NA
AMLR2004_D0610_2240_1,AMLR2004_D0610_2240_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.000271252,n_m3,NA,NA,NA
AMLR2004_D0610_2240_1,AMLR2004_D0610_2240_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,3,0.000813757,n_m3,NA,NA,NA
