"Group","Year","estimate","conf.low","conf.high","n_stocks","fraction","Abundance_Index","Upper_Bound","Lower_Bound"
"marine birds",1990,-0.222852214229358,-0.266265003712531,-0.177393953947358,1469,0.125255798090041,0.838467800692259,0.877462693341186,0.802846381534687
"marine birds",1991,-0.235658290262659,-0.285837950926617,-0.189013301045803,1053,0.0897851296043656,0.827798778247085,0.867326153770749,0.7872850985641
"marine birds",1992,-0.188260669836834,-0.232054708201209,-0.138270266522691,1268,0.108117326057299,0.867979176214143,0.912472663454678,0.830787200353092
"marine birds",1993,-0.218599166078169,-0.267377734583666,-0.172018050716108,1570,0.133867667121419,0.842041438662219,0.882192550104551,0.801953526427021
"marine birds",1994,-0.191412270596616,-0.24066013037481,-0.144979053696437,1860,0.158594815825375,0.865247958497498,0.906371566915875,0.823668598972314
"marine birds",1995,-0.123567399482084,-0.167589740201591,-0.0827273079480739,2286,0.194918144611187,0.925987739419321,0.964588017899802,0.886107835301105
"marine birds",1996,-0.163113180367034,-0.203334228377157,-0.11944740391869,2286,0.194918144611187,0.890083441927045,0.929810674627879,0.854993755409567
"marine birds",1997,-0.195758909264365,-0.237618029317532,-0.160513049309095,2440,0.208049113233288,0.861495200114737,0.892400786923336,0.82617809722642
"marine birds",1998,-0.225096581945747,-0.264816878751104,-0.185829823401399,2722,0.232094133697135,0.836588080809506,0.870091666830589,0.804009845637362
"marine birds",1999,-0.284962373991774,-0.327034503553895,-0.249836580041552,3014,0.256991814461119,0.787974729105788,0.816144819121633,0.755510658975935
"marine birds",2000,-0.254496780637928,-0.29815654503535,-0.213121105260001,2940,0.250682128240109,0.812350269098307,0.846666850451122,0.777646342834797
"marine birds",2001,-0.289879276808821,-0.329238311455576,-0.250288103293686,2395,0.204212141882674,0.784109843360721,0.815776393941218,0.753847491939343
"marine birds",2002,-0.30258763365404,-0.342733903310999,-0.259120299717053,3028,0.25818553888131,0.774208146078571,0.808603021540871,0.74374221558275
"marine birds",2003,-0.242803785682774,-0.281519637813383,-0.201824468512027,2613,0.222800136425648,0.821904828541461,0.856285565582621,0.790692193285415
"marine birds",2004,-0.241976218897232,-0.282892583679189,-0.195338472884437,2355,0.200801500682128,0.822585291203752,0.861857480190525,0.78960736058621
"marine birds",2005,-0.263154964629424,-0.30033661890994,-0.219277030977646,2527,0.215467257844475,0.80534715189007,0.841470841742706,0.775952862985421
"marine birds",2006,-0.283981076234319,-0.320396331086098,-0.245442907327239,2660,0.226807639836289,0.788748346452795,0.819738581470852,0.760542551840156
"marine birds",2007,-0.358305960774484,-0.408118919016219,-0.315329616547339,2653,0.226210777626194,0.732250327455227,0.76440578252384,0.696668351463502
"marine birds",2008,-0.380642839052082,-0.412981593212137,-0.34355208408753,3027,0.258100272851296,0.716075461540831,0.743133948869264,0.693288903484058
"marine birds",2009,-0.436952463177799,-0.479442031657895,-0.401205283294854,3574,0.304740791268759,0.676867766099306,0.701501550902702,0.648710380447988
"marine birds",2010,-0.42036890318452,-0.460889467223888,-0.381766465538723,3518,0.299965893587995,0.688186234158969,0.715271312052248,0.660857957504668
"marine birds",2011,-0.481762357191199,-0.519714162316264,-0.444706749452624,3737,0.318639154160982,0.647206906137978,0.671639436849447,0.623104493692687
"marine birds",2012,-0.503038752411612,-0.54836843221444,-0.46447892747012,3537,0.301585948158254,0.633582133214007,0.6584900863698,0.605503268779452
"marine birds",2013,-0.478246625668432,-0.514487795173817,-0.43505131722846,3633,0.309771487039563,0.649486316409049,0.678155814507115,0.626369591412401
"marine birds",2014,-0.484986179992348,-0.527403433867294,-0.446308585515308,3225,0.274982946793997,0.64512378536719,0.670564441791166,0.618331647407742
"marine birds",2015,-0.507781868091246,-0.548750606504072,-0.466624692355196,3366,0.287005457025921,0.630584095504065,0.65707863632683,0.605271905211256
"marine birds",2016,-0.481858032215975,-0.521482590222682,-0.443975412755249,3331,0.284021145975443,0.647144987563276,0.67213081107512,0.622003552072287
"marine birds",2017,-0.557969214995105,-0.597682761698358,-0.514898225074291,2885,0.245992496589359,0.599717780470911,0.626112563352946,0.576367588699439
"marine birds",2018,-0.542977221284462,-0.584212687461373,-0.502635369166412,3429,0.29237721691678,0.608776479978199,0.633837761185558,0.584183827381604
"marine birds",2019,-0.539334972360013,-0.580898619853194,-0.497326782517539,2562,0.218451568894952,0.610997838372034,0.637211490807208,0.586123063686369
"marine birds",2020,-0.573758817264856,-0.61715117008283,-0.536404461365777,2894,0.246759890859482,0.590322841605275,0.612791000412083,0.56525515082554
