"Group","Year","estimate","conf.low","conf.high","n_stocks","fraction","Abundance_Index","Upper_Bound","Lower_Bound"
"Marine Mammals",1980,-0.647945165611719,-0.79302376656213,-0.51785689365896,69,0.139393939393939,0.598309977205743,0.68143253279379,0.517510790034941
"Marine Mammals",1981,-0.652606303068068,-0.794969721715497,-0.512646618489096,75,0.151515151515152,0.595527661575709,0.684992249297643,0.516504716450666
"Marine Mammals",1982,-0.651734130899654,-0.781197582504581,-0.528202453940908,89,0.17979797979798,0.596047290797789,0.674419073087245,0.523667300147278
"Marine Mammals",1983,-0.68499328342322,-0.829252079456285,-0.542756036507256,53,0.107070707070707,0.576549303616238,0.664674937452877,0.49909779690834
"Marine Mammals",1984,-0.638664957624082,-0.759745815446347,-0.521395508178047,116,0.234343434343434,0.603888262022463,0.679025467090022,0.53502224546876
"Marine Mammals",1985,-0.57401564124965,-0.703379862704402,-0.455708136983064,131,0.264646464646465,0.644218851916981,0.725126414737703,0.566045395521702
"Marine Mammals",1986,-0.561272963386091,-0.678077397399693,-0.450810521549644,121,0.244444444444444,0.652480450877651,0.728686515944777,0.580550472754044
"Marine Mammals",1987,-0.549262844045549,-0.667882785132204,-0.428565601243274,118,0.238383838383838,0.660364065775167,0.74507772407114,0.586499230845414
"Marine Mammals",1988,-0.507086847827639,-0.628018816605275,-0.393529143788315,137,0.276767676767677,0.688811255670955,0.771645307346869,0.610351685833139
"Marine Mammals",1989,-0.486716920915554,-0.607029265324671,-0.37046604966214,149,0.301010101010101,0.702986171470207,0.789648644026149,0.623298088126095
"Marine Mammals",1990,-0.436880673507608,-0.550478581909895,-0.326366287701717,174,0.351515151515152,0.738908035205196,0.825251224142375,0.659561723993616
"Marine Mammals",1991,-0.398455214899717,-0.5110839540748,-0.289250341991369,172,0.347474747474747,0.767853474776311,0.856456732458289,0.686063499093664
"Marine Mammals",1992,-0.382170731165228,-0.493653257001745,-0.279417755110944,202,0.408080808080808,0.78045993848817,0.864919454734466,0.698126895389709
"Marine Mammals",1993,-0.335071918399879,-0.439661122712952,-0.234136902779842,170,0.343434343434343,0.818098073273544,0.904983977400634,0.736856392511789
"Marine Mammals",1994,-0.301499811570235,-0.419372357376295,-0.194664393300857,183,0.36969696969697,0.846029585659206,0.941420352841274,0.751958987389764
"Marine Mammals",1995,-0.262964262348519,-0.370712508395232,-0.15752381525357,181,0.365656565656566,0.879268119850494,0.97704267091538,0.789454052202166
"Marine Mammals",1996,-0.211913509552074,-0.323929206530186,-0.107101613005856,202,0.408080808080808,0.925320933286006,1.02757047085008,0.827264881088577
"Marine Mammals",1997,-0.213522711822888,-0.319727593305088,-0.107650011896325,205,0.414141414141414,0.923833102170601,1.02700710683221,0.830748040473709
"Marine Mammals",1998,-0.214869778707824,-0.330543530136691,-0.102810990986555,191,0.385858585858586,0.922589475004002,1.03198885937791,0.821811139744905
"Marine Mammals",1999,-0.23792098412394,-0.351987012655464,-0.135182133471118,183,0.36969696969697,0.90156591560566,0.999117119308805,0.804376247415662
"Marine Mammals",2000,-0.16995683534924,-0.279752541832067,-0.0665219943140263,212,0.428282828282828,0.964970283384012,1.07012650290245,0.864629939651787
"Marine Mammals",2001,-0.125869026143416,-0.233728713422473,-0.0268286509062511,184,0.371717171717172,1.00846546779207,1.11345769246897,0.905353457632617
"Marine Mammals",2002,-0.0932971239938298,-0.196720824336658,0.0112362969190193,193,0.38989898989899,1.04185391713761,1.15665840166464,0.939486376036468
"Marine Mammals",2003,-0.0738358161467338,-0.182375694509973,0.0392238860257398,192,0.387878787878788,1.0623283402694,1.18948774592462,0.953060559002658
"Marine Mammals",2004,-0.0914505645449156,-0.194630763637093,0.0174611551572635,196,0.395959595959596,1.04377953967377,1.16388089241367,0.941452013023557
"Marine Mammals",2005,-0.0356746667336508,-0.142318248058079,0.07770782110168,216,0.436363636363636,1.10365146506598,1.23615614741091,0.992012684239893
"Marine Mammals",2006,-0.00100276250700292,-0.113480875703358,0.113984082164797,169,0.341414141414141,1.14258826898144,1.28182256614411,1.02103619297324
"Marine Mammals",2007,0.0492522394625028,-0.0538692202461895,0.152405259514927,193,0.38989898989899,1.20147636201685,1.33203003721566,1.08375259390716
"Marine Mammals",2008,0.0618409425840339,-0.0551417014271145,0.17204445554764,171,0.345454545454545,1.21669699424855,1.35844860684488,1.08237441616522
"Marine Mammals",2009,0.097804596976259,-0.016343968697756,0.209554005054298,140,0.282828282828283,1.26125021075716,1.41037110932944,1.12519335737879
"Marine Mammals",2010,0.11149367683759,-0.00433633598388201,0.228804366243261,135,0.272727272727273,1.27863428010696,1.4377842726918,1.13878570861156
"Marine Mammals",2011,0.122611127562048,0.00440725890260874,0.240733223953277,110,0.222222222222222,1.29292874548794,1.45503810133407,1.14878644699937
"Marine Mammals",2012,0.164958706615224,0.0464301226930434,0.288511196698122,118,0.238383838383838,1.34885700305844,1.52624437282822,1.19809043541484
"Marine Mammals",2013,0.169737466458695,0.0491159403612363,0.291306903570295,137,0.276767676767677,1.35531829291938,1.5305172748176,1.20131261302818
"Marine Mammals",2014,0.16870459784631,0.0464924944828456,0.286002959196715,113,0.228282828282828,1.35391914988468,1.52242098644103,1.19816516479012
"Marine Mammals",2015,0.161168238820493,0.0378710253869599,0.288131186367012,109,0.22020202020202,1.34375388174713,1.52566449438562,1.18787962280136
"Marine Mammals",2016,0.166959106823857,0.0276299863543569,0.300190406397556,81,0.163636363636364,1.35155795748299,1.5441742002102,1.17577658085995
"Marine Mammals",2017,0.145957436526337,0.0181453094863931,0.279540781007712,68,0.137373737373737,1.32346897309332,1.51261455034287,1.16467743901414
"Marine Mammals",2018,0.146442967277676,-0.00647633908786608,0.290323657052781,63,0.127272727272727,1.32411171400081,1.52901313862666,1.13635130940035
"Marine Mammals",2019,0.150766386221937,-0.00680354909305019,0.296671595251553,32,0.0646464646464646,1.32984879663889,1.53875009162679,1.13597954470839
"Marine Mammals",2020,0.159710672811454,-0.0175926335588775,0.330053513349489,24,0.0484848484848485,1.34179669847299,1.59098349633244,1.12378924478693
"Marine Mammals",2021,0.200758283151022,-0.0217832167340701,0.414207941559421,4,0.00808080808080808,1.39802027415358,1.73066686333438,1.11908976614062
"Marine Mammals",2022,0.225937560284172,-0.00860195426346783,0.452103116609653,5,0.0101010101010101,1.43366832679901,1.79750929095604,1.13393842914821
"Marine Mammals",2023,0.243257536040347,-0.014016406256254,0.488687901020892,9,0.0181818181818182,1.45871571136529,1.86448852067311,1.12781536543685
"Marine Mammals",2024,0.260319948256962,-0.0280811947400098,0.560013970175132,3,0.00606060606060606,1.48381846792729,2.00233266412648,1.11206391097055
