Family;Genus;Species;Year;Sub-Region;Month;Season;Period;Gear_Name;Catchability;Tot.Weight_(t);Tot.Density_(t/km2);Volume_(m3);Surface_(m2);Mean_Depth_Catch;Case;Reference,,,,,,,,,,,
Myctophidae;Notoscopelus;elongatus;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;10.102235254;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Myctophidae;Symbolophorus;veranyi;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.010617559;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Symbolophorus;veranyi;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.14360778;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Symbolophorus;veranyi;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0;NA;NA;333.333333333333;1;Bernal,,,,,,,,,,,
Myctophidae;Symbolophorus;veranyi;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.671739123;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Paralepididae;Arctozenus;rissoi;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.322854032;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Paralepididae;Arctozenus;rissoi;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;1.245977412;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Paralepididae;Lestidiops;jayakari;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.247597954;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Paralepididae;Lestidiops;jayakari;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.850086309;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Phosichthyidae;Vinciguerria;attenuata;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.036910305;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Phosichthyidae;Vinciguerria;attenuata;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.002155562;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Phosichthyidae;Vinciguerria;attenuata;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.14025916;NA;NA;333.333333333333;1;Bernal,,,,,,,,,,,
Phosichthyidae;Vinciguerria;attenuata;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.484118658;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Sternoptychidae;Argyropelecus;hemigymnus;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.121845924;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Sternoptychidae;Argyropelecus;hemigymnus;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.080233365;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Sternoptychidae;Argyropelecus;hemigymnus;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.755009565;NA;NA;333.333333333333;1;Bernal,,,,,,,,,,,
Sternoptychidae;Argyropelecus;hemigymnus;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.370542158;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Sternoptychidae;Maurolicus;muelleri;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Sternoptychidae;Maurolicus;muelleri;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;2.283169562;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Sternoptychidae;Maurolicus;muelleri;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.030675984;NA;NA;333.333333333333;1;Bernal,,,,,,,,,,,
Sternoptychidae;Maurolicus;muelleri;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Stomiidae;Bathophilus;nigerrimus;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Stomiidae;Bathophilus;nigerrimus;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.051808665;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Stomiidae;Chauliodus;sloani;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.0062097;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Stomiidae;Chauliodus;sloani;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.01117746;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
