"Group","Year","estimate","conf.low","conf.high","n_stocks","fraction","Abundance_Index","Upper_Bound","Lower_Bound"
"turtle",1977,-0.526596156610408,-0.752170123127862,-0.327953691954739,29,0.0953947368421053,0.657343462302818,0.801791917901384,0.524598227698713
"turtle",1978,-0.430288612942554,-0.646606809841631,-0.213107058958142,29,0.0953947368421053,0.723799339964728,0.899371110723432,0.583005139737143
"turtle",1979,-0.396693595779134,-0.604356445513806,-0.187175463700265,34,0.111842105263158,0.748528452919581,0.9229982591921,0.608165085098919
"turtle",1980,-0.421970300148517,-0.625500755717256,-0.222334146981231,39,0.128289473684211,0.729845240257757,0.891110702682343,0.595440850527123
"turtle",1981,-0.359858299332057,-0.581290215314211,-0.147839715047003,45,0.148026315789474,0.776614829737427,0.960028620580283,0.622356199512989
"turtle",1982,-0.337023625739957,-0.532153963184584,-0.139036484299584,50,0.164473684210526,0.794552598000273,0.968517283058315,0.653700208115676
"turtle",1983,-0.366548692079907,-0.568103427724808,-0.186158743866485,50,0.164473684210526,0.771436313981243,0.923937167051006,0.630617428343136
"turtle",1984,-0.257206391705126,-0.437127822997842,-0.0645482439554319,63,0.207236842105263,0.860571256491069,1.04341531474655,0.718866013498413
"turtle",1985,-0.303166847759229,-0.476253696661914,-0.119381319579864,66,0.217105263157895,0.821914162490717,0.987741963004882,0.691282878477861
"turtle",1986,-0.268402312519122,-0.441715099449765,-0.0808915207396026,70,0.230263157894737,0.850990103843598,1.02650108292764,0.715575928397024
"turtle",1987,-0.257511445198538,-0.44510626059098,-0.080268054305211,78,0.256578947368421,0.860308776260237,1.027141271445,0.713153405020204
"turtle",1988,-0.349977032959894,-0.523890182497427,-0.176917306782514,92,0.302631578947368,0.784326807040311,0.932515250107038,0.659124625499046
"turtle",1989,-0.368389891453184,-0.541741528347474,-0.196941935016899,91,0.299342105263158,0.770017252711664,0.914027699827605,0.647462763506177
"turtle",1990,-0.370541184404695,-0.538148711072315,-0.206979325309049,107,0.351973684210526,0.768362500589843,0.904899137180802,0.649793162750458
"turtle",1991,-0.33420818298479,-0.502735126187922,-0.174394068309298,105,0.345394736842105,0.796792767410514,0.934871179498845,0.673216980785013
"turtle",1992,-0.317597914421218,-0.479324067508787,-0.156410591605589,111,0.365131578947368,0.810138238360664,0.95183549506974,0.689163638771617
"turtle",1993,-0.407022538674437,-0.569778651328472,-0.232232857405726,120,0.394736842105263,0.740836737303305,0.882333369689197,0.629561887522596
"turtle",1994,-0.360456533004756,-0.526043713929577,-0.208911920703313,135,0.444078947368421,0.77615037153668,0.903152022053116,0.657706707214117
"turtle",1995,-0.317239589695291,-0.477102758163452,-0.145529311565821,131,0.430921052631579,0.810428582938602,0.962249238320987,0.690696185903358
"turtle",1996,-0.413122370220383,-0.571839322707393,-0.250762890633836,144,0.473684210526316,0.73633151252798,0.866134251639439,0.628265903117307
"turtle",1997,-0.407342837168276,-0.563925959686272,-0.244840970532789,147,0.483552631578947,0.740599486409747,0.871278646788833,0.633257322692601
"turtle",1998,-0.362172342827481,-0.52182781828706,-0.19919146426605,149,0.490131578947368,0.774819786946778,0.911973878713737,0.660485383243568
