"sp","cruise","wbiom","wabun","wCV","area","year","spname","sciName"
"TRAC-MED","PELGAS2005",14.66224549,283.73862541,456039966691761,15900,2005,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2000",564.68922451,915.8805138,206641788151983,19922.6,2000,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2014",51381.9836501014,338957.29135872,25553268514479,20648.1234028111,2014,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-TRU","PELGAS2008",100406.359849727,3027783.8687278,370991541436508,19500,2008,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2000",230530.07357864,3979072.0863468,224735131865537,19922.6,2000,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2013",33470.7172879477,1124900.27732151,300673083008784,22465,2013,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2007",45098.087005661,640743.07045765,176794377361532,16650,2007,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2009",56590.9567356871,2459141.44109741,257428217559816,21600,2009,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2012",11851.9052863311,188694.382324434,872539795141852,19800,2012,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2005",181448.39054692,2828998.4582072,309057507089379,15900,2005,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2010",11662.386430631,418118.622879138,275865457806132,24264.5,2010,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2016",119230.276237756,3219598.43634205,299081425142998,22773.6791553381,2016,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2018",93728.4622234579,2468522.58307338,156679919367649,20823.8294958782,2018,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2015",98170.0037530685,8146957.87596181,206610518082813,22035.9773852975,2015,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2003",198528.14549098,3599592.02257005,330063295100365,19950,2003,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2006",156299.602623676,1959026.96072719,409956098890245,15600,2006,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2001",149052.7687442,1929402.0928924,414516674233475,21300,2001,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2002",191257.94306181,5972942.0319962,262929722979497,21154,2002,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2017",61918.9623131312,1145835.01200347,288317713892108,24194.9348090436,2017,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2014",69894.1270092983,979323.424309409,231111795152055,20648.1234028111,2014,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2004",186046.496886,6281843.87094,347729026710638,20900,2004,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2019",52100.6530678615,1221410.80863414,253426325739342,23282.6441426942,2019,"Horse mackerel","Trachurus trachurus"
"TRAC-TRU","PELGAS2011",63459.2243279545,1124204.42781603,311074998367923,23850,2011,"Horse mackerel","Trachurus trachurus"
